0,1,2,3,4,5,6,7,8,9,10
Bimaplan,Vikul Goyal,"Vikul is the founder of Bimaplan which is building an affordable insurance platform for the next billion Indians. His previous startup, Carcrew, an online marketplace for automobile spares and services, was recently acquired by TVS, a large auto conglomerate based in India. Previously, he worked as an Investment Professional at Bessemer Venture Partners and GSF Accelerator. Vikul has an MBA from Harvard Business School and has completed his undergrad in Mechanical Engineering from IIT Guwahati.",,,,,,,,
Bueno Finance,Sandeep Arora,"I am data scientist with 11+ years of experience. I have worked with US based large companies such as CapitalOne, Citibank, Grove CM as well as in the Indian startup ecosystem with companies such as Swiggy. I am deeply passionate about data and believe the underbanked customer problem in India can only be solved through data.",Saurav Gandhi,"Entrepreneur || Risk Manager || Product Manager. 10+ years of experience in product management, credit risk management, data analytics , credit underwriting using alternate data, people and stakeholder management",,,,,,
Version Story,Jordan Bryan,Kevin O'Connell,,,,,,,,
Gridware,Tim Barat,"Former Lineman, Electrician, Engineer, now Entrepreneur working on California's wildfire problem.",Omar Binomar,"Co-founder & Operations Director @Gridware. Previously worked at Schlumberger, Aramco, and KAPSARC. M.S. in Product Development from UC Berkeley.",Hall Chen,Protecting utility infrastructure and fighting wildfires @Gridware,,,,
FanPlay,Bharat Gupta,"Growth Marketing expert. Ex-Growth head at consumer internet business of Paytm, MBA from ISB and Engineer from NSIT",Pritesh Kumar,"I am a 2x Enterpreneur and have worked with mutiple startups in the past
Studied computer science at IIT Delhi
Presently building Product and Technology at FanPlay",,,,,,
Expent Inc,Harikrishna Narayanan,"In 2020 Hari co-founded Expent. Prior to Expent, Hari was running the Machine Learning Services Product and Engineering group at Workday as a director where he was responsible for designing and executing the strategy & vision for multiple Machine Learning services. Before Workday, Hari led multiple data initiatives at Yahoo. Hari has a Masters in Computer Science from Georgia Institute of Technology and Bachelors from PSG Tech, India.",Srikanth Veeraraghavan,"Srikanth is a co-founder of Expent. Prior to Expent, he was the Head of Security, Privacy and Compliance at PlanGrid. Prior to that, he was an early member of Zendesk’s Pre-IPO security team. He has more than 8+ years of extensive Security and Privacy experience working at various small, medium and large security companies. He has a Masters in Information Security from Johns Hopkins University and a Bachelors in Information Technology from Vellore Institute of Technology, India.",,,,,,
Faction,Ain McKendrick,"Currently CEO at Faction Technology. Prior to founding Faction, Ain has focused on autonomous systems on everything from light electric vehicles to the first successful driverless semi trucks to run on public highways.

Before getting in to the vehicle space, Ain spent a number of years in consumer electronics at Netflix, Dell, TiVo, and various startups. He began his career as one of the founders of Palm Computing developing the original PalmPilot handheld digital assistants.",,,,,,,,
Remix,Simon Sturmer,"Software Engineer, Founder, CTO, prev. Facebook/Google/YouTube; currently building Remix.so. Proud dad of 3. Bay Area; from Kansas City.",Ning Zhang,"Founder and CEO at Remix (YC W21)

Former Googler and FBer. Now building the next gen event platform at Remix.so",,,,,,
YourQuote,Harsh Snehanshu,"Cofounder/CEO, YourQuote",Ashish Singh,,,,,,,
Terapify,Eduardo Velez Santiago,Juan Daniel Velez Santiago,,,,,,,,
Cyble,Beenu Arora,"Forward-thinking, entrepreneurial, senior technology strategist, cybersecurity leader and MBA from London Business School and Columbia Business School, with 15+ years of extensive international and cross-functional experience in high-tech, cyber-security intelligence and operations in financial and energy, utilities and mining sectors across IT and OT/ICS. Advised multiple Fortune 50 and 100 organizations on engagements ranging from cyber-security strategy development to operations.",Manish Chachada,"Seasoned finance professional with over 15+ years multinational experience in finance/accounting, business management, international corporate structuring, global tax strategies, fund raising. (Consulting experience - KNAV P.A. (member Allinial Global firms), Controller (Mitchell Group USA, LLC, Executive finance - IT Service - Rolta International",,,,,,
Noya,Daniel Cavero,Reversing climate change.,Josh Santos,"Co-founder/CEO of Aether Laboratories. Ex- Tesla, Harley-Davidson, Labdoor (W15). BS in Chemical Engineering from MIT. Runner, snowboarder, house DJ, and connoisseur of Trader Joe's packaged foods.",,,,,,
Axle Health,Connor Hailey,"I got my first taste of entrepreneurship in college after I created an iPhone case paired with an app that I presented at CES. After that I took time off school to work at Shout (YC S14) as the first employee. 

Post-grad I was an engineer at Zocdoc followed by product & engineering at Entermedicare. I founded Axle because I'm passionate about increasing patient access to care.",Adam Stansell,"Ex-Uber, KeepTruckin, management consulting, investment banking. Columbia BA (summa cum laude) in Econ-Math.

Born and raised in Seattle, WA. Lived in Cambodia, Mexico and Argentina. Fluent ish Spanish on a good day.

Big Seattle sports fan. Soccer and jazz piano in spare time. Aspiring to be halfway decent at chess.",,,,,,
Gradia Health,Farzaan Kaiyom,Farzaan Kaiyom studied Computer Science at Stanford and has expertise in scalable machine learning from research there and at IBM. He is currently CTO & Co-founder at Gradia Health.,Rithvik Seela,Rithvik Seela studied Economics and Computer Science at Stanford. He's a patented inventor and has published peer-reviewed academic writing. He is currently the CEO & Co-founder of Gradia Health.,Andrew Zelaya,Andrew Zelaya studied Computer Science at Stanford University. He has expertise working on large-scale products and building features used by millions of users. He is currently the CPO & Co-founder at Gradia Health.,,,,
Sivo,Dani Conejo Rico,"I am passionate about building intuitive digital products, bringing about an end to predatory lending and cramming in as many races as I can! I am based in Vancouver and Mexico City where I love to cook, run and spend time with my wife and family.",Kate Hiscox,Originally from the UK and based in Vancouver. I've been building companies for 15+ years with Sivo being company #6. Exits include an IPO (9 figure valuation post listing on the TSX-V). I like to build things and never take no for an answer!,,,,,,
Charge Running,Rory Graman,"Rory is the Lead Trainer at Charge Running. He built the process in which certified run coaches virtually coach tens of thousands of runners located all over the world and has also learned to code SQL to learn more about their users.

He has spent 12.5 years in the military as a Navy SEAL, leading 100+ SEAL's throughout his career and implementing tech into all areas of the battlespace. He has had multiple combat deployments to Afghanistan and others to South America, Africa, and Germany.",Matthew Knippen,"iOS Developer / Product / CEO

I've built over 60+ applications for iPhone and iPad. 

In my spare time, I like to perform magic, waterski, play the saxophone, solve the Rubik's Cube, play the board game Go, and spend time with my wife and two daughters.",Julie Wallock,,,,,
Flok,Anthony Emberley,"Helping companies save time planning their perfect in-person retreat with Flok.

Previously: Product at Uber, CS at MIT, ODF4.",Jared Hanson,"MIT 2018, former Apple software engineer, currently CTO @ Flok",Harris Stolzenberg,South Florida -> MIT '17 -> Deutsche Bank (Investment Banker) -> Pando (Chief of Staff) -> Pear VC (Associate) -> Rep (Co-founder),,,,
Nebo,Kirill Klimuk,We're building a cleaning company powered by robots.,Roman Zubenko,"Previously PM at Gusto, now changing cleaning industry with robotics.",,,,,,
Prequel,Charles Chretien,Conor McCarter,,,,,,,,
Avenue,Jeff Barg,"Working on Avenue, a tool that lets you set up alerts & processes on the data sources you already use.

Shoot me a note if you want to chat!",Justin Bleuel,people-first,,,,,,
LiliumX,Irsyad Khairil,"Pharma analyst with a background in protein engineering
DPhil in Biochemistry from the University of Oxford",Arne Scheu,Rhodes Scholar & DPhil Candidate in Biochemistry at the University of Oxford,,,,,,
Finary,Darian Bhathena,Technical co-founder at Finary,Roger Cawdette,Co-Founder & CEO at Finary,Michael Liu,Co-founder and CPO at Finary,Jack Phifer,Co-Founder & COO at Finary,,
ClipDrop,Jonathan Blanchet,"Co-founder and CTO of ClipDrop.
I have been working with the web stack for more than 10 years and more recently focused on new fields like Machine Learning, DevOps…
I'm also a happy member of the Lab212 interdisciplinary art collective.",Cyril Diagne,"Co-founder and CEO of Init ML.

Former Professor and Head of Media & Interaction Design at ECAL (Lausanne University of Arts & Design, Switzerland)

Former artist in residence at Google Arts & Culture, where I helped kickstart the Google Arts Experiments initiative and created multiple machine learning projects such as the viral Google Art Selfie.",Damien Henry,"Created GoogleCardboard
Head of Innovation for @googlearts Lab
Previously: co-founded @audiogaming & @novelab
Feminist",,,,
Fractional,Stella Han,Carlos Treviño,,,,,,,,
PingPong,Jeff Whitlock,"Began career at McKinsey & Co., product manager at Vivint.SmartHome for a machine learning capability and the redesign of Vivint’s consumer mobile app, and Head of Product at Safeboda, a series-B ride-sharing company for motorcycle taxis in Uganda. 

Founded Unbird, a user research product for product managers, but have since pivoted to PingPong.",Enaho Murphy,,,,,,,
CashBook,Vivek Kumar,.,Ashutosh Pathak,CTO,,,,,,
Cord,Ulrik Stig Hansen,"Sales & Trading, Emerging Markets Rates & FX | J.P. Morgan
MS Computer Science | Imperial College London",Eric Landau,"Senior Quantitative Researcher | DRW 
SM Applied Physics | Harvard University
MS Electrical Engineering, BS Physics | Stanford University",,,,,,
